date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd
2015-08-08,1.19999,86768712.5207460052,5.78278879,72307862.99948,0.20751060493080886
2015-08-09,1.19999,86801326.1864631927,4.88081534,72335041.28073,0.24585851264760203
2015-08-10,1.19999,86834706.7207897552,4.62344756,72362858.62448,0.25954441667767075
2015-08-11,0.99,71666977.5726102,3.83427474,72390886.43698,0.25819746031031676
2015-08-12,1.288,93274715.49833024,4.70208081,72418257.37448,0.2739212812465467
2015-08-13,1.8848,136547211.261419904,6.08626751,72446525.49948,0.3096807685339483
2015-08-14,1.79504416247808,130100550.6235669778841513984,5.43349984,72477632.21823,0.33036610202202205
2015-08-15,1.78222244301578,129222078.6518518209207592944,4.41871028,72506144.87448,0.40333543728415255
2015-08-16,1.53307377556984,111198807.1900535888737111832,3.78569826,72533239.40573,0.40496459841198224
2015-08-17,1.29638,94067093.6884846324,3.81169381,72561358.31198,0.34010601706751475
2015-08-18,1.08418656925774,78698415.4988737008037434752,3.15009403,72587521.12448,0.3441759385378538
2015-08-19,1.24,90042355.9131052,3.4798352,72614803.15573,0.35633871397128236
2015-08-20,1.5218,110537252.032546164,3.98691003,72635860.18698,0.38169910746644065
2015-08-21,1.43588,104334703.9086183424,3.77588797,72662551.12448,0.3802761129059664
2015-08-22,1.4,101766142.230522,3.64363585,72690101.59323,0.38423159109053123
2015-08-23,1.35,98167082.2446105,3.49516511,72716357.21823,0.386247847387101
2015-08-24,1.23804,90059598.5859762192,3.24203363,72743690.49948,0.38187142432572485
2015-08-25,1.27119,92505038.5810480437,3.28295633,72770426.59323,0.387208927631395
2015-08-26,1.18,85899946.1831364,3.0647458,72796564.56198,0.3850237758707427
2015-08-27,1.13646,82758264.3222015408,2.96609185,72821097.37448,0.38315064316029185
2015-08-28,1.295,94334692.67729535,3.29829906,72845322.53073,0.3926266164596973
2015-08-29,1.179,85911192.23873067,3.02115454,72867847.53073,0.39024815989717626
2015-08-30,1.32,96213877.4843136,3.30712308,72889301.12448,0.3991384560141621
2015-08-31,1.30651,95258420.9011724898,3.27217355,72910594.56198,0.3992789441134625
2015-09-01,1.36,99186069.9417928,3.31858996,72930933.78073,0.40981260607441844
2015-09-02,1.30828087083577,95438206.2736661924479441496,3.21459317,72949324.87448,0.40698178638753535
2015-09-03,1.23357,90009539.2884841686,3.04856863,72966705.81198,0.40463907811056893
2015-09-04,1.23357,90038012.3970279186,3.03745708,72989787.68698,0.40611931872960005
2015-09-05,1.36287107188779,99510599.2896975031291008492,3.30058859,73015416.74948,0.41291758567455694
2015-09-06,1.34,97875723.9411782,3.23900739,73041585.03073,0.41370699064690936
2015-09-07,1.27561,93205053.9095916828,3.09867966,73067045.49948,0.4116624304430359
2015-09-08,1.26349378725891,92352468.3167419795872928668,3.06021213,73092934.24948,0.4128778442750993
2015-09-09,1.21,88474432.4434333,2.83894004,73119365.65573,0.4262154124255474
2015-09-10,1.1857,86728986.768170936,2.78973383,73145809.87448,0.42502262662097773
2015-09-11,0.927715708357686,67883786.49239528497124731578,2.25259009,73173048.46823,0.41184399792759724
2015-09-12,1.14639,83915118.4163457522,2.68992164,73199450.81198,0.4261797009075699
2015-09-13,0.88557,64846414.2677979411,2.15049852,73225622.21823,0.4117975398560144
2015-09-14,0.955,69954905.87778465,2.29659908,73251210.34323,0.4158322662046874
2015-09-15,0.95,69612984.3729435,2.5170821,73276825.65573,0.3774211417259692
2015-09-16,0.93634,68636665.6476487282,2.48099049,73303143.78073,0.377405719116642
2015-09-17,0.875,64162506.98001375,2.33899071,73328579.40573,0.37409297790669727
2015-09-18,0.85226,62517083.6911993248,2.28456208,73354473.62448,0.37305180168271024
2015-09-19,0.883689479836353,64846601.67246629532350190894,2.34796246,73381660.81198,0.376364398873887
2015-09-20,0.94116,69090220.0465593468,2.47372585,73409643.46823,0.38046253185250906
2015-09-21,0.94116,69115303.7252343468,2.46892478,73436295.34323,0.3812023791182492
