date,dominance_btc,ratio_eth_btc
2016-07-09,82.9868,0.01680054
2016-07-10,82.9178,0.01686497
2016-07-11,83.2917,0.01624935
2016-07-12,83.4365,0.01575072
2016-07-13,83.1675,0.01586927
2016-07-14,82.7508,0.01745539
2016-07-15,82.5736,0.01798778
2016-07-16,82.5686,0.01761475
2016-07-17,83.2762,0.01652747
2016-07-18,83.2407,0.0164159
2016-07-19,83.0764,0.01730593
2016-07-20,82.5305,0.01873731
2016-07-21,82.3321,0.01911308
2016-07-22,81.0291,0.02278778
2016-07-23,81.0554,0.02197283
2016-07-24,82.069,0.01923306
2016-07-25,81.515,0.02112636
2016-07-26,82.8927,0.01827498
2016-07-27,82.3241,0.01990257
2016-07-28,82.3579,0.01964077
2016-07-29,82.1992,0.01958462
2016-07-30,82.4194,0.01910206
2016-07-31,82.2608,0.01911977
2016-08-01,82.4733,0.01814816
2016-08-02,82.8842,0.01585656
2016-08-03,82.145,0.01848353
2016-08-04,81.681,0.01929676
2016-08-05,81.6047,0.01921029
2016-08-06,81.4887,0.01860223
2016-08-07,81.9024,0.01853489
2016-08-08,81.9003,0.01911651
2016-08-09,80.956,0.02093281
2016-08-10,81.1348,0.0205004
2016-08-11,81.3145,0.01985353
2016-08-12,81.1317,0.02009231
2016-08-13,81.0894,0.01977765
2016-08-14,80.9984,0.01970746
2016-08-15,80.9043,0.01969678
2016-08-16,81.1768,0.019294
2016-08-17,81.3502,0.01882869
2016-08-18,81.343,0.0187645
2016-08-19,81.3114,0.01872316
2016-08-20,81.2273,0.01941477
2016-08-21,81.35,0.0192178
2016-08-22,81.3906,0.01895329
2016-08-23,81.2584,0.01887792
2016-08-24,81.1503,0.01903586
2016-08-25,80.9841,0.01968446
2016-08-26,81.0825,0.01948517
2016-08-27,80.9549,0.01961377
2016-08-28,80.8417,0.0191393
2016-08-29,80.7137,0.01910985
2016-08-30,80.7675,0.01954329
2016-08-31,80.4529,0.02028146
2016-09-01,80.2177,0.02117318
2016-09-02,80.1181,0.02104872
2016-09-03,80.7797,0.01981174
2016-09-04,80.8114,0.01924809
2016-09-05,80.7945,0.0193803
2016-09-06,81.1271,0.01912883
2016-09-07,81.2709,0.01881949
2016-09-08,81.5631,0.01809532
2016-09-09,81.2456,0.01871709
2016-09-10,81.0451,0.01944975
2016-09-11,81.1509,0.01917407
2016-09-12,81.0097,0.01958661
2016-09-13,80.9114,0.01960901
2016-09-14,80.8602,0.01956297
2016-09-15,78.8456,0.01972925
2016-09-16,79.7447,0.02074107
2016-09-17,79.6764,0.02109016
2016-09-18,80.1513,0.02034791
2016-09-19,79.6801,0.02139662
2016-09-20,78.8014,0.02419002
2016-09-21,79.0394,0.02306809
2016-09-22,79.2979,0.02215826
2016-09-23,78.9859,0.02219455
2016-09-24,79.0769,0.02150597
2016-09-25,78.4452,0.0217871
2016-09-26,79.0498,0.02119742
2016-09-27,78.3856,0.02164431
2016-09-28,77.301,0.0220252
2016-09-29,77.7258,0.02170099
2016-09-30,78.1114,0.0217777
2016-10-01,78.8185,0.02150997
2016-10-02,78.4839,0.02171476
2016-10-03,78.5456,0.02203843
2016-10-04,78.9216,0.02184568
2016-10-05,79.503,0.02137305
2016-10-06,79.6565,0.02104251
2016-10-07,79.9041,0.02053784
2016-10-08,80.2407,0.01976988
2016-10-09,80.0917,0.01958478
2016-10-10,80.0617,0.01904794
2016-10-11,80.4905,0.01829723
2016-10-12,80.3545,0.01857783
2016-10-13,80.2931,0.01881923
2016-10-14,80.3127,0.01861357
2016-10-15,80.4252,0.01876263
2016-10-16,80.599,0.01860563
2016-10-17,80.6122,0.01872668
2016-10-18,79.9013,0.01974597
2016-10-19,79.8507,0.01904659
2016-10-20,79.2649,0.01918946
2016-10-21,79.5414,0.01915009
2016-10-22,80.3772,0.01840137
2016-10-23,80.2536,0.01834005
2016-10-24,80.2926,0.01834761
2016-10-25,80.8705,0.01727169
2016-10-26,81.2954,0.01702545
2016-10-27,81.8172,0.01671596
2016-10-28,82.4471,0.01611893
2016-10-29,83.6158,0.01455504
2016-10-30,82.4394,0.01606746
2016-10-31,82.678,0.01570614
2016-11-01,83.4656,0.01479266
2016-11-02,83.528,0.01463339
2016-11-03,82.5649,0.01575336
2016-11-04,82.6922,0.01581187
2016-11-05,82.6569,0.01576432
2016-11-06,83.0203,0.01535684
2016-11-07,82.6592,0.01545734
2016-11-08,82.8375,0.01525465
2016-11-09,83.2413,0.01477123
2016-11-10,83.208,0.0147467
2016-11-11,83.2686,0.01437754
2016-11-12,83.2672,0.01404908
2016-11-13,83.0872,0.01437933
2016-11-14,83.2654,0.01419588
2016-11-15,83.3992,0.01437744
2016-11-16,84.2956,0.01350661
2016-11-17,84.2457,0.01351623
2016-11-18,84.6036,0.01269806
2016-11-19,84.6835,0.01291308
2016-11-20,84.417,0.01312919
2016-11-21,84.609,0.01294973
2016-11-22,84.6883,0.01317358
2016-11-23,84.7608,0.01320779
2016-11-24,85.1634,0.01250603
2016-11-25,85.0697,0.01272685
2016-11-26,84.9853,0.01267545
2016-11-27,85.0985,0.01224974
2016-11-28,85.372,0.01189139
2016-11-29,85.7294,0.01116432
2016-11-30,85.5622,0.01159683
2016-12-01,85.9167,0.01122021
2016-12-02,86.7295,0.00993295
2016-12-03,86.4996,0.01030397
2016-12-04,86.894,0.00975298
2016-12-05,87.2414,0.00894617
2016-12-06,85.8931,0.0102448
2016-12-07,85.2872,0.01092225
2016-12-08,85.7373,0.01076554
2016-12-09,85.5887,0.01100194
2016-12-10,86.1321,0.01047341
2016-12-11,85.8143,0.01068104
2016-12-12,85.907,0.01094553
2016-12-13,85.9893,0.01079693
2016-12-14,86.1452,0.01060525
2016-12-15,85.8804,0.01006542
2016-12-16,85.8021,0.01004501
2016-12-17,86.203,0.00987434
2016-12-18,85.976,0.01000134
2016-12-19,86.214,0.0096294
2016-12-20,86.3535,0.00953464
2016-12-21,86.7281,0.00952333
2016-12-22,87.2763,0.00883387
2016-12-23,88.2192,0.00782795
2016-12-24,87.6402,0.00812727
2016-12-25,87.7703,0.00803719
2016-12-26,87.8455,0.0080163
2016-12-27,88.1696,0.00772583
2016-12-28,88.2973,0.00777951
2016-12-29,87.8406,0.00852893
2016-12-30,87.7938,0.00855086
2016-12-31,87.8512,0.00838656
2017-01-01,88.2246,0.00820034
2017-01-02,88.1934,0.00823777
2017-01-03,87.684,0.00939123
2017-01-04,87.8111,0.00975643
2017-01-05,87.2113,0.0102197
2017-01-06,86.263,0.01134593
2017-01-07,86.4926,0.01098534
2017-01-08,86.4053,0.01143975
2017-01-09,86.2585,0.01147175
2017-01-10,85.852,0.01172463
2017-01-11,85.0656,0.01265032
2017-01-12,85.2495,0.01210773
2017-01-13,85.4226,0.01186944
2017-01-14,85.2094,0.01192479
2017-01-15,85.3032,0.01197188
2017-01-16,85.5744,0.01157101
2017-01-17,86.0949,0.01130611
2017-01-18,85.8366,0.01162172
2017-01-19,86.0392,0.01156488
2017-01-20,85.9534,0.01189805
2017-01-21,86.1271,0.0118578
2017-01-22,86.2034,0.01160377
2017-01-23,86.1516,0.01174913
